WMD;;;SDF;;Software AG Designer
WMD;;;WSC;;webMethods Shared Components
WMI;;;OBE;;webMethods Optimize Base Engine
WMI;;;WID;;webMethods Infrastructure Data Collector
WMI;;;AIC;;Software AG Installer Always Installed Components
WMI;;;DDJ;;DataDirect Connect for JDBC
WMI;;;OGI;;OSGi Platform
WMI;;;TPS;;webMethods Shared Third Party Bundles
WMI;;;WSC;;webMethods Shared Components
WMK;;;AIC;;Software AG Installer Always Installed Components
WMN;;;AIC;;Software AG Installer Always Installed Components
WMN;;;MWS;;My webMethods Server
WMN;;;PIE;;webMethods Integration Server
WMN;;;WSC;;webMethods Shared Components
WMO;;;OBE;;webMethods Optimize Base Engine
WMO;;;AIC;;Software AG Installer Always Installed Components
WMO;;;DDJ;;DataDirect Connect for JDBC
WMO;;;TPS;;webMethods Shared Third Party Bundles
WMO;;;WSC;;webMethods Shared Components
WMS;;;AIC;;Software AG Installer Always Installed Components
WMS;;;WMD;;webMethods Process Development
WMS;;;WSC;;webMethods Shared Components
WOB;;;WMO;;webMethods Optimize for Process
WOK;;;MWS;;My webMethods Server
WOK;;;PIE;;webMethods Integration Server
WOK;;;WMD;;webMethods Process Development
WOK;;;TPS;;webMethods Shared Third Party Bundles
WOK;;;WED;;webMethods Service Development
WOK;;;TPP;;webMethods Shared Third Party Jars
WOK;;;SPM;;webMethods Platform Manager
WOK;;;DEV;;Software AG Digital Event Services
WOK;;;AIC;;Software AG Installer Always Installed Components
WOK;;;SDF;;Software AG Designer
WOK;;;WSC;;webMethods Shared Components
WPE;;;AIC;;Software AG Installer Always Installed Components
WSC;;;AIC;;Software AG Installer Always Installed Components
WSC;;;MIG;;webMethods Migration Framework
WSC;;;TPP;;webMethods Shared Third Party Jars
WSR;;;AIC;;Software AG Installer Always Installed Components
WSR;;;WDG;;webMethods Locate Geocode Dataset
WSR;;;WDV;;webMethods Locate Verify Dataset
WSS;;;AIC;;Software AG Installer Always Installed Components
WSS;;;CPP;;Common PlugIn Package
WSS;;;CTP;;Software AG Runtime
WSS;;;OGI;;OSGi Platform
WSS;;;SDF;;Software AG Designer
WSS;;;TPS;;webMethods Shared Third Party Bundles
WST;;;AIC;;Software AG Installer Always Installed Components
WST;;;PIE;;webMethods Integration Server
WST;;;WSC;;webMethods Shared Components
WST;;;WSS;;Web Services Stack
WTN;;;AIC;;Software AG Installer Always Installed Components
WTN;;;MWS;;My webMethods Server
WTN;;;WSC;;webMethods Shared Components
WWG;;;AIC;;Software AG Installer Always Installed Components
WWG;;;SDF;;Software AG Designer
WWW;;;AIC;;Software AG Installer Always Installed Components
XCH;;;AIC;;Software AG Installer Always Installed Components
XSC;;;WIS;;webMethods Installer Shared Tools
XSC;;;AIC;;Software AG Installer Always Installed Components
YAI;;;AIC;;Software AG Installer Always Installed Components
